accident_id,timestamp,latitude,longitude,severity,casualties,vehicles_involved,weather_condition,road_condition,light_condition
ACC-000017,2024-07-19T14:26:50.726207,41.89285038235791,-87.56719937317482,3,1,3,Rain,Dry,Daylight
ACC-000018,2023-07-14T23:21:54.726207,41.881402681323905,-87.66101331293898,3,1,1,Rain,Dry,Dark
ACC-000019,2024-06-14T18:27:52.726207,41.81992120543508,-87.62042734739246,3,1,2,Clear,Dry,Daylight
ACC-000020,2023-05-16T08:56:34.726207,41.83457551505735,-87.7356966711692,4,0,1,Rain,Dry,Daylight
ACC-000021,2024-11-04T11:44:27.726207,41.93516852645572,-87.53691268566546,5,1,3,Cloudy,Unknown,Daylight
ACC-000022,2024-09-12T05:56:24.726207,41.81643821169677,-87.55643679641517,4,1,2,Clear,Dry,Dark
ACC-000023,2023-08-17T22:40:30.726207,41.94488709314813,-87.58535654348982,2,1,2,Clear,Dry,Dark
ACC-000024,2025-02-08T21:34:24.726207,41.86117963500054,-87.65016121685566,5,2,1,Fog,Dry,Dark
ACC-000025,2023-07-31T05:20:37.726207,41.82401547208589,-87.5410468676842,3,1,2,Clear,Slush,Dark
ACC-000026,2024-03-01T13:44:34.726207,41.87284548645408,-87.65054913011672,3,0,3,Clear,Wet,Daylight
ACC-000027,2024-04-08T12:30:38.726207,41.85630379355955,-87.71910910671853,2,1,3,Unknown,Wet,Daylight
ACC-000028,2023-11-22T20:13:06.726207,41.902914317136016,-87.53471232709862,3,1,2,Rain,Dry,Dark
ACC-000029,2024-11-30T14:19:03.726207,41.85266720781029,-87.66653382115328,1,0,1,Clear,Wet,Daylight
ACC-000030,2024-03-04T17:19:19.726207,41.8021192765433,-87.52641244194241,4,2,2,Clear,Dry,Daylight
ACC-000031,2024-08-11T07:59:26.726207,41.83219005903118,-87.73960735013088,1,0,1,Clear,Dry,Daylight
ACC-000032,2023-06-11T05:59:59.726207,41.83058446346496,-87.69749408501738,4,1,4,Rain,Dry,Dark
ACC-000033,2024-04-09T02:42:36.726207,41.842494002995544,-87.60933379627593,5,1,3,Clear,Dry,Dark
ACC-000034,2023-06-12T06:28:32.726207,41.940972081205,-87.7043403483837,3,1,1,Cloudy,Dry,Daylight
ACC-000035,2024-12-10T19:04:18.726207,41.94791535642173,-87.73940393403028,2,1,4,Clear,Dry,Dark
ACC-000036,2023-09-04T18:02:22.726207,41.96118602070523,-87.63441397781091,2,1,4,Fog,Dry,Daylight
ACC-000037,2023-12-21T11:42:59.726207,41.94806821621582,-87.52873790672136,3,1,1,Clear,Dry,Daylight
ACC-000038,2024-03-27T15:00:02.726207,41.96311896107657,-87.6003433535586,5,1,2,Fog,Dry,Daylight
ACC-000039,2024-11-15T04:49:22.726207,41.815692431970895,-87.66478490593309,5,3,2,Clear,Dry,Dark
ACC-000040,2023-09-12T09:17:40.726207,41.882011542502795,-87.67352025126412,4,2,1,Clear,Wet,Daylight
ACC-000041,2023-05-01T01:53:02.726207,41.8653267853314,-87.72969717274914,2,1,3,Clear,Slush,Dark
ACC-000042,2023-06-08T14:01:22.726207,41.91098701828014,-87.57610772483557,3,1,1,Clear,Snow,Daylight
ACC-000043,2024-03-16T20:02:00.726207,41.94334076715551,-87.73114041680384,5,2,2,Clear,Unknown,Dark
ACC-000044,2023-08-29T17:11:51.726207,41.87921918409106,-87.54583301046917,4,1,2,Clear,Dry,Daylight
ACC-000045,2024-01-28T02:11:36.726207,41.905748887463815,-87.52519628319055,3,1,3,Cloudy,Dry,Dark
ACC-000046,2023-05-16T07:19:06.726207,41.80269549341069,-87.53005684950439,3,2,1,Unknown,Ice,Daylight
ACC-000047,2024-06-08T16:42:02.726207,41.84801164929707,-87.59032517383258,2,1,3,Clear,Wet,Daylight
ACC-000048,2024-12-25T00:06:16.726207,41.96373622295019,-87.72614624635534,3,1,3,Rain,Snow,Dark
ACC-000049,2023-04-20T05:01:22.726207,41.958714920692785,-87.53297294932513,4,2,3,Fog,Dry,Dark
ACC-000050,2024-07-20T01:37:24.726207,41.858206051225565,-87.65872398957038,2,0,4,Clear,Dry,Dark
ACC-000051,2023-04-22T19:52:49.726207,41.86578986133719,-87.70915533720333,2,0,1,Clear,Wet,Dark
ACC-000052,2024-08-21T21:57:10.726207,41.86216006375101,-87.59669297403141,5,1,2,Rain,Wet,Dark
ACC-000053,2025-02-04T01:03:55.726207,41.80026605433709,-87.59992234730107,4,2,3,Snow,Dry,Dark
ACC-000054,2023-12-02T19:50:28.726207,41.80430847005053,-87.69048546834166,2,0,3,Clear,Dry,Dark
ACC-000055,2024-12-28T03:35:54.726207,41.96667287219847,-87.56460707117088,5,1,2,Rain,Dry,Dark
ACC-000056,2025-02-20T23:07:13.726207,41.93990410426305,-87.7137192211991,3,2,4,Rain,Dry,Dark
ACC-000057,2023-07-09T21:33:03.726207,41.93877931131702,-87.7408543857877,5,1,4,Rain,Snow,Dark
ACC-000058,2023-07-24T03:46:03.726207,41.848203203155144,-87.65254528896116,3,2,4,Fog,Snow,Dark
ACC-000059,2023-11-15T11:41:36.726207,41.93104817605655,-87.56757532967318,2,1,4,Clear,Dry,Daylight
ACC-000060,2023-12-21T11:15:40.726207,41.802066059634335,-87.673827547656,3,1,4,Rain,Dry,Daylight
ACC-000061,2024-07-23T02:12:59.726207,41.96037279043985,-87.71911381151574,3,2,4,Rain,Ice,Dark
ACC-000062,2023-05-15T15:07:12.726207,41.87753623037596,-87.74873122967058,3,1,2,Rain,Wet,Daylight
ACC-000063,2023-10-05T21:14:52.726207,41.85652347305422,-87.70171821235698,5,0,3,Clear,Dry,Dark
ACC-000064,2023-08-26T12:01:41.726207,41.89196663687997,-87.66795114282172,5,4,2,Clear,Dry,Daylight
ACC-000065,2023-07-25T21:25:02.726207,41.90753974780548,-87.63966039228491,2,1,3,Cloudy,Dry,Dark
ACC-000066,2023-04-21T18:34:10.726207,41.92714501898362,-87.52688357190152,2,0,1,Rain,Dry,Daylight
ACC-000067,2024-06-24T15:54:49.726207,41.9409104641498,-87.57577114181834,2,1,4,Rain,Dry,Daylight
ACC-000068,2023-09-25T02:35:49.726207,41.95340489976542,-87.6577726519179,2,0,4,Clear,Dry,Dark
ACC-000069,2024-03-28T17:16:30.726207,41.85103533111616,-87.60192605711237,1,0,2,Cloudy,Dry,Daylight
ACC-000070,2023-07-23T03:45:54.726207,41.860063286204465,-87.72523903096453,5,2,3,Clear,Dry,Dark
ACC-000071,2024-07-08T22:19:13.726207,41.87236911033583,-87.64242605382597,2,0,2,Clear,Dry,Dark
ACC-000072,2024-01-14T02:29:21.726207,41.90203901605863,-87.6150184920975,4,3,1,Clear,Wet,Dark
ACC-000073,2024-11-28T19:22:41.726207,41.92007283510158,-87.61084970540118,5,0,1,Rain,Wet,Dark
ACC-000074,2024-09-05T22:50:48.726207,41.8985206900837,-87.54458980576912,4,1,2,Rain,Dry,Dark
ACC-000075,2023-04-29T14:03:30.726207,41.79970152660275,-87.57284889242736,4,2,3,Clear,Dry,Daylight
ACC-000076,2024-02-07T16:09:52.726207,41.924384645667594,-87.6553084753648,1,0,4,Clear,Dry,Daylight
ACC-000077,2024-10-12T19:50:45.726207,41.896561537040604,-87.73753986445803,5,0,4,Clear,Wet,Dark
ACC-000078,2023-04-16T22:35:34.726207,41.923936136794644,-87.64502946042619,4,2,2,Rain,Dry,Dark
ACC-000079,2023-07-29T03:31:55.726207,41.822639228679634,-87.64171782863346,3,0,1,Clear,Snow,Dark
ACC-000080,2024-11-09T23:32:41.726207,41.84643731794012,-87.57890066088889,2,1,1,Clear,Dry,Dark
ACC-000081,2024-05-12T00:28:53.726207,41.79822368669461,-87.63992919703782,4,1,2,Clear,Wet,Dark
ACC-000082,2025-01-24T04:55:58.726207,41.874130671374445,-87.73481959499063,5,2,4,Rain,Wet,Dark
ACC-000083,2024-04-11T10:54:39.726207,41.86974320715702,-87.61598304600884,2,0,1,Clear,Wet,Daylight
ACC-000084,2024-06-22T10:18:03.726207,41.81261680931651,-87.59741853461925,2,1,1,Clear,Unknown,Daylight
ACC-000085,2023-07-19T23:16:56.726207,41.84653471553242,-87.63219836043392,3,1,1,Clear,Wet,Dark
ACC-000086,2023-06-30T06:11:29.726207,41.83190320755889,-87.65428912686977,4,1,3,Clear,Dry,Daylight
ACC-000087,2024-09-18T10:58:03.726207,41.959569173593266,-87.70020118660605,3,2,4,Clear,Snow,Daylight
ACC-000088,2024-10-02T05:28:31.726207,41.96257549072208,-87.66484532811891,4,1,2,Fog,Wet,Dark
ACC-000089,2023-08-26T19:09:50.726207,41.795745260223676,-87.58500938036036,3,0,2,Clear,Dry,Dark
ACC-000090,2024-09-26T21:25:37.726207,41.855053094550236,-87.57492416501533,3,2,2,Cloudy,Wet,Dark
ACC-000091,2023-05-14T04:47:05.726207,41.83386334255771,-87.54626894587452,3,0,3,Clear,Ice,Dark
ACC-000092,2025-01-11T13:15:03.726207,41.904321037656906,-87.68762442509355,4,0,4,Clear,Dry,Daylight
ACC-000093,2024-06-06T04:15:28.726207,41.83541567813939,-87.71671765525358,2,1,3,Clear,Snow,Dark
ACC-000094,2024-11-03T18:04:36.726207,41.90529198838111,-87.6017000744,3,2,2,Cloudy,Wet,Daylight
ACC-000095,2023-08-20T07:26:45.726207,41.87935501408692,-87.62356741387873,4,1,3,Clear,Dry,Daylight
ACC-000096,2025-03-24T15:28:13.726207,41.924081174693804,-87.64852696217292,4,3,4,Clear,Dry,Daylight
ACC-000097,2024-06-05T11:46:22.726207,41.7897652629531,-87.51436907228305,3,0,1,Cloudy,Snow,Daylight
ACC-000098,2023-12-27T23:16:01.726207,41.931302758302536,-87.5460451995896,5,1,2,Rain,Wet,Dark
ACC-000099,2023-04-29T02:22:34.726207,41.9155741859821,-87.6068840994657,5,0,2,Clear,Dry,Dark
ACC-000100,2025-02-11T11:12:46.726207,41.96628835959907,-87.51323833605164,4,1,3,Clear,Dry,Daylight
ACC-000101,2024-02-06T02:41:29.726207,41.84028221119797,-87.65959359039157,5,1,4,Cloudy,Dry,Dark
ACC-000102,2025-01-20T03:11:13.726207,41.87336822022233,-87.64275028058381,5,1,2,Clear,Dry,Dark
ACC-000103,2023-07-19T01:20:30.726207,41.95475535290857,-87.71142816879671,4,1,2,Clear,Dry,Dark
ACC-000104,2023-06-09T19:52:03.726207,41.85565501132996,-87.61314972831532,4,1,3,Clear,Wet,Dark
ACC-000105,2024-10-13T06:55:55.726207,41.801135843600505,-87.54330697092038,5,1,3,Rain,Dry,Daylight
ACC-000106,2024-09-23T04:59:08.726207,41.80909671641448,-87.5237310351255,4,0,2,Clear,Wet,Dark
ACC-000107,2023-09-19T23:33:56.726207,41.841010434994274,-87.63108039796016,5,1,3,Rain,Dry,Dark
ACC-000108,2023-10-16T21:32:53.726207,41.91880164143438,-87.59976428227945,3,1,1,Clear,Dry,Dark
ACC-000109,2023-12-31T14:08:13.726207,41.90501624205225,-87.72887737569376,1,0,4,Clear,Dry,Daylight
ACC-000110,2023-09-14T19:29:50.726207,41.93348496387531,-87.55774791540078,3,2,3,Cloudy,Wet,Dark
ACC-000111,2024-03-29T12:25:09.726207,41.9662605768468,-87.72019634275601,1,0,1,Clear,Dry,Daylight
ACC-000112,2024-10-31T10:00:13.726207,41.89018825772107,-87.63321679350248,2,0,1,Clear,Unknown,Daylight
ACC-000113,2024-10-09T19:51:58.726207,41.90813947936426,-87.60376788961106,2,0,2,Clear,Snow,Dark
ACC-000114,2024-11-26T05:58:36.726207,41.952639469978884,-87.55328852375318,4,2,1,Rain,Ice,Dark
ACC-000115,2024-08-11T23:56:20.726207,41.89007733563092,-87.55806514932944,4,0,4,Rain,Wet,Dark
ACC-000116,2024-11-09T00:48:06.726207,41.87861836330583,-87.70917959223961,3,0,4,Clear,Wet,Dark
ACC-000117,2024-09-17T01:35:54.726207,41.88561933116781,-87.6032626515704,5,3,3,Rain,Dry,Dark
ACC-000118,2023-09-05T05:37:35.726207,41.93856940507107,-87.65134289869965,2,1,1,Clear,Wet,Dark
ACC-000119,2024-01-27T13:36:24.726207,41.84788872537477,-87.62646489415975,1,0,1,Clear,Dry,Daylight
ACC-000120,2023-07-16T21:46:22.726207,41.861396834208016,-87.64881446863102,2,1,4,Clear,Dry,Dark
ACC-000121,2023-07-31T13:09:14.726207,41.81973730574688,-87.65780258993762,1,0,4,Clear,Dry,Daylight
ACC-000122,2023-11-21T12:00:23.726207,41.95046092404233,-87.53584485311455,3,0,3,Clear,Dry,Daylight
ACC-000123,2023-05-13T21:51:19.726207,41.88785079175672,-87.6818491734823,4,1,4,Clear,Dry,Dark
ACC-000124,2023-09-11T01:36:21.726207,41.835688639889355,-87.58319877343483,3,1,4,Rain,Dry,Dark
ACC-000125,2023-09-14T20:34:54.726207,41.8574703006164,-87.64832762159712,5,3,4,Clear,Dry,Dark
ACC-000126,2024-08-19T21:02:33.726207,41.8125838244239,-87.74490692380796,5,1,4,Clear,Dry,Dark
ACC-000127,2024-02-12T04:23:40.726207,41.80125178837906,-87.68334255147467,3,1,1,Rain,Dry,Dark
ACC-000128,2023-11-15T18:08:20.726207,41.80911701410285,-87.60316122853932,4,1,1,Clear,Dry,Daylight
ACC-000129,2024-06-20T05:09:10.726207,41.88081010630016,-87.61449860575246,2,0,4,Clear,Dry,Dark
ACC-000130,2025-03-04T18:32:53.726207,41.87024269707695,-87.64755857411595,1,0,4,Clear,Dry,Daylight
ACC-000131,2024-02-27T16:07:59.726207,41.9037424072052,-87.71807686946691,5,2,1,Cloudy,Dry,Daylight
ACC-000132,2025-03-21T05:33:25.726207,41.942037645637605,-87.5845884804934,4,0,2,Clear,Dry,Dark
ACC-000133,2024-11-12T06:35:20.726207,41.945869306033096,-87.62377812563228,1,0,3,Clear,Snow,Daylight
ACC-000134,2024-03-30T18:59:58.726207,41.80871307669484,-87.60409654048522,1,0,1,Clear,Dry,Daylight
ACC-000135,2023-06-16T14:45:02.726207,41.805119833140736,-87.68394384750951,5,2,4,Fog,Wet,Daylight
ACC-000136,2024-03-16T20:23:05.726207,41.841467947998815,-87.52555034217403,5,1,2,Clear,Dry,Dark
ACC-000137,2024-01-28T11:53:55.726207,41.90862630176079,-87.51664957481695,3,2,3,Clear,Wet,Daylight
ACC-000138,2023-10-31T02:07:20.726207,41.95979570369632,-87.61012484703222,2,0,3,Clear,Dry,Dark
ACC-000139,2024-11-26T23:54:32.726207,41.83878858866254,-87.55503024347385,2,0,1,Cloudy,Dry,Dark
ACC-000140,2024-07-21T12:03:42.726207,41.94264112043919,-87.54058383935077,5,2,4,Clear,Dry,Daylight
ACC-000141,2025-02-13T17:25:08.726207,41.887148917273706,-87.55744758313666,5,2,2,Clear,Snow,Daylight
ACC-000142,2024-10-25T03:01:38.726207,41.87144196287928,-87.60014927686255,5,1,4,Fog,Dry,Dark
ACC-000143,2024-12-28T00:24:17.726207,41.923767176610774,-87.74900582068338,4,3,2,Cloudy,Wet,Dark
ACC-000144,2024-10-18T08:12:11.726207,41.81097910033381,-87.65562793864639,2,1,4,Rain,Dry,Daylight
ACC-000145,2023-07-15T11:53:00.726207,41.79573790339171,-87.60963743963404,4,1,1,Clear,Dry,Daylight
ACC-000146,2025-02-07T08:14:14.726207,41.79553512027285,-87.69530238841294,3,2,4,Rain,Dry,Daylight
ACC-000147,2024-02-28T03:43:24.726207,41.964675573845426,-87.73426431246827,3,0,1,Snow,Wet,Dark
ACC-000148,2024-08-20T12:54:15.726207,41.925667720679506,-87.54796464437992,1,0,4,Clear,Dry,Daylight
ACC-000149,2025-01-17T20:45:01.726207,41.88973396928631,-87.68367891251818,3,2,4,Unknown,Dry,Dark
ACC-000150,2024-08-13T04:55:19.726207,41.967984113886786,-87.54513352270318,4,2,2,Rain,Wet,Dark
ACC-000151,2023-08-20T17:44:53.726207,41.824976117287676,-87.73318145134523,4,1,2,Clear,Dry,Daylight
ACC-000152,2024-09-27T16:16:18.726207,41.83616264146144,-87.55071391752733,3,1,4,Cloudy,Dry,Daylight
ACC-000153,2024-11-14T21:55:41.726207,41.83768535789296,-87.57245701682871,5,2,4,Clear,Wet,Dark
ACC-000154,2023-06-28T16:54:19.726207,41.82545262524334,-87.53371680837535,5,1,1,Cloudy,Ice,Daylight
ACC-000155,2024-04-08T09:43:49.726207,41.854504829308105,-87.51654896280805,3,2,3,Clear,Dry,Daylight
ACC-000156,2023-10-12T12:24:33.726207,41.946643928297114,-87.57284599469446,1,0,4,Clear,Dry,Daylight
ACC-000157,2024-08-07T19:02:07.726207,41.80102851416524,-87.61857795141881,5,2,1,Clear,Snow,Dark
ACC-000158,2023-09-03T03:24:34.726207,41.88529033232827,-87.52371538653269,4,2,4,Clear,Dry,Dark
ACC-000159,2024-10-06T08:36:37.726207,41.95157093958578,-87.62237577234906,2,1,2,Snow,Wet,Daylight
ACC-000160,2023-07-09T05:08:22.726207,41.96799999167437,-87.72591935405806,3,2,3,Clear,Dry,Dark
ACC-000161,2023-12-09T20:37:21.726207,41.953931993186714,-87.63910693367009,4,2,4,Clear,Snow,Dark
ACC-000162,2024-05-03T03:47:13.726207,41.80798744613024,-87.53753727401755,3,1,1,Clear,Dry,Dark
ACC-000163,2024-08-09T09:12:24.726207,41.96400870507562,-87.60400097152984,2,0,1,Clear,Dry,Daylight
ACC-000164,2023-11-16T16:30:52.726207,41.85350020502938,-87.56005178798917,5,3,4,Clear,Dry,Daylight
ACC-000165,2024-01-25T19:59:08.726207,41.93678029318251,-87.70296960055246,2,1,1,Clear,Wet,Dark
ACC-000166,2024-10-21T08:21:50.726207,41.961867504687625,-87.62920988150302,2,0,2,Rain,Dry,Daylight
ACC-000167,2023-08-13T16:08:11.726207,41.868542554137086,-87.73561945907007,4,1,4,Rain,Dry,Daylight
ACC-000168,2025-02-28T06:11:43.726207,41.81241908357693,-87.55765275683311,4,1,3,Clear,Dry,Daylight
ACC-000169,2025-02-06T05:18:55.726207,41.9160106036419,-87.6349581414938,2,0,3,Clear,Dry,Dark
ACC-000170,2023-08-21T16:07:14.726207,41.84826503836046,-87.52056471638562,1,0,2,Clear,Dry,Daylight
ACC-000171,2024-05-27T00:56:24.726207,41.96662351467601,-87.70395187794529,5,0,4,Clear,Dry,Dark
ACC-000172,2025-03-08T22:49:38.726207,41.79621138479481,-87.69850440073581,4,0,4,Rain,Dry,Dark
ACC-000173,2023-07-08T05:34:25.726207,41.88804482857721,-87.65974310879473,4,1,1,Clear,Dry,Dark
ACC-000174,2025-03-12T20:46:01.726207,41.885365762987426,-87.67409338581997,4,1,1,Clear,Slush,Dark
ACC-000175,2023-05-25T16:59:32.726207,41.79888324330361,-87.68945273008451,5,2,3,Clear,Dry,Daylight
ACC-000176,2024-08-29T11:46:47.726207,41.95921058700165,-87.58968210167704,4,2,1,Clear,Dry,Daylight
ACC-000177,2023-07-07T10:50:35.726207,41.89210728176715,-87.63399267310405,3,2,2,Rain,Snow,Daylight
ACC-000178,2023-07-21T05:08:16.726207,41.960525903635826,-87.73900101604404,5,4,1,Cloudy,Dry,Dark
ACC-000179,2024-12-18T03:08:29.726207,41.87777958064756,-87.60027487638354,5,1,2,Clear,Wet,Dark
ACC-000180,2025-01-04T08:42:14.726207,41.84503419737746,-87.5993981264765,2,1,4,Clear,Dry,Daylight
ACC-000181,2024-07-13T07:44:18.726207,41.86849843667736,-87.5491270624522,3,1,3,Rain,Dry,Daylight
ACC-000182,2023-09-06T01:04:20.726207,41.95564151639998,-87.59619019813891,4,1,1,Rain,Dry,Dark
ACC-000183,2024-07-06T03:58:11.726207,41.90345526497554,-87.51427081910838,4,1,4,Clear,Snow,Dark
ACC-000184,2024-03-24T10:34:30.726207,41.83182907048422,-87.60690727048211,1,0,4,Clear,Ice,Daylight
ACC-000185,2024-01-10T22:24:03.726207,41.80279268223813,-87.52557471118415,3,1,2,Fog,Dry,Dark
ACC-000186,2024-05-19T12:21:15.726207,41.91526869031892,-87.59165137645948,3,1,2,Clear,Dry,Daylight
ACC-000187,2024-05-07T02:46:19.726207,41.888029602210395,-87.56025281646308,3,2,2,Rain,Dry,Dark
ACC-000188,2023-06-29T12:54:11.726207,41.90480005430469,-87.58463826363966,3,1,3,Rain,Dry,Daylight
ACC-000189,2024-09-02T08:14:29.726207,41.81247052435369,-87.5899499586248,1,0,3,Clear,Dry,Daylight
ACC-000190,2023-06-22T02:59:10.726207,41.94049204988229,-87.55140697697894,3,1,4,Clear,Wet,Dark
ACC-000191,2025-03-17T15:34:33.726207,41.8716742603667,-87.64133214911122,1,0,1,Cloudy,Dry,Daylight
ACC-000192,2023-06-16T15:49:51.726207,41.86920772601939,-87.55971799839742,4,0,4,Cloudy,Dry,Daylight
ACC-000193,2023-05-28T16:46:51.726207,41.931749026887516,-87.61003465874703,5,3,2,Rain,Dry,Daylight
ACC-000194,2023-10-10T07:51:43.726207,41.85723295964612,-87.62104611148588,2,0,1,Clear,Ice,Daylight
ACC-000195,2023-12-31T02:56:26.726207,41.908311020947764,-87.5689545172031,2,0,4,Clear,Snow,Dark
ACC-000196,2024-06-04T10:46:52.726207,41.84974191833658,-87.63909652767124,1,0,3,Clear,Snow,Daylight
ACC-000197,2023-07-27T22:16:21.726207,41.92520218993565,-87.6547505274686,3,2,3,Clear,Wet,Dark
ACC-000198,2024-05-27T12:37:08.726207,41.956177444709155,-87.71265862816948,4,1,2,Clear,Dry,Daylight
ACC-000199,2023-04-22T13:09:45.726207,41.8472665612187,-87.74248607775168,2,0,3,Clear,Dry,Daylight
ACC-000200,2025-01-24T21:59:58.726207,41.915490137187334,-87.53539866525182,2,1,4,Cloudy,Dry,Dark
ACC-000201,2024-02-08T14:43:35.726207,41.800419441459965,-87.69802287687352,1,0,1,Cloudy,Dry,Daylight
ACC-000202,2025-03-21T17:14:30.726207,41.83440481519262,-87.74034831768185,3,2,1,Cloudy,Dry,Daylight
ACC-000203,2024-10-02T12:13:36.726207,41.92085149924286,-87.53469624878507,1,0,1,Clear,Dry,Daylight
ACC-000204,2023-10-16T17:05:48.726207,41.888847979453956,-87.6849999729741,1,0,2,Clear,Dry,Daylight
ACC-000205,2023-11-28T02:39:08.726207,41.92701874770072,-87.69620021184618,2,0,2,Clear,Wet,Dark
ACC-000206,2023-07-29T15:33:44.726207,41.87177603345906,-87.64941783023991,5,1,2,Clear,Dry,Daylight
ACC-000207,2024-10-14T12:51:26.726207,41.9108026229578,-87.6415479835505,5,2,4,Rain,Dry,Daylight
ACC-000208,2023-11-07T02:40:24.726207,41.806709399942065,-87.61313822718897,2,1,1,Clear,Dry,Dark
ACC-000209,2023-09-16T10:57:01.726207,41.9309250484757,-87.54727292704519,3,2,1,Rain,Dry,Daylight
ACC-000210,2023-07-19T07:56:38.726207,41.919803305782665,-87.72315485986917,5,2,2,Clear,Dry,Daylight
ACC-000211,2023-08-22T08:19:23.726207,41.855487438349996,-87.70013589287944,2,0,2,Clear,Dry,Daylight
ACC-000212,2024-06-25T11:13:05.726207,41.79429697911761,-87.72735885187004,4,1,4,Clear,Snow,Daylight
ACC-000213,2024-10-24T05:01:53.726207,41.96260389488641,-87.61263244090063,5,4,1,Clear,Dry,Dark
ACC-000214,2024-10-02T20:12:29.726207,41.885353798393076,-87.64244204928868,5,4,1,Clear,Dry,Dark
ACC-000215,2024-05-12T13:33:06.726207,41.89071937581188,-87.69857122744386,4,2,3,Clear,Dry,Daylight
ACC-000216,2024-07-08T00:22:22.726207,41.833230088994796,-87.69886606186024,4,1,3,Rain,Dry,Dark
ACC-000217,2024-02-11T05:30:03.726207,41.85722171587602,-87.53596444205,5,3,1,Clear,Dry,Dark
ACC-000218,2023-09-08T20:17:02.726207,41.922941583662094,-87.5900356646385,4,2,3,Rain,Dry,Dark
ACC-000219,2025-03-15T01:30:43.726207,41.94488509313484,-87.55278708866311,4,0,1,Snow,Dry,Dark
ACC-000220,2024-01-15T01:50:24.726207,41.915876746030904,-87.70285455826591,4,0,2,Clear,Dry,Dark
ACC-000221,2025-01-11T03:55:45.726207,41.88081740294726,-87.51932177917303,3,0,2,Snow,Unknown,Dark
ACC-000222,2024-12-03T18:01:09.726207,41.87795612760206,-87.54111865099456,4,0,2,Unknown,Dry,Daylight
ACC-000223,2024-10-14T16:54:43.726207,41.92209204990946,-87.64423510444772,4,0,3,Clear,Dry,Daylight
ACC-000224,2024-06-25T09:25:23.726207,41.81617561818847,-87.62381586305655,2,0,3,Clear,Dry,Daylight
ACC-000225,2024-10-17T09:07:47.726207,41.79336913624283,-87.6862784814691,2,0,3,Rain,Dry,Daylight
ACC-000226,2024-11-05T15:42:46.726207,41.89782785960816,-87.54446040584884,3,0,2,Clear,Dry,Daylight
ACC-000227,2025-04-02T17:54:00.726207,41.89342843779943,-87.64861617181602,4,1,2,Cloudy,Dry,Daylight
ACC-000228,2024-11-11T02:42:34.726207,41.80218637596429,-87.56910415111683,4,1,4,Rain,Dry,Dark
ACC-000229,2024-01-20T18:31:48.726207,41.81980811152271,-87.55581556366079,4,1,4,Rain,Dry,Daylight
ACC-000230,2024-08-16T19:19:01.726207,41.9335422007381,-87.74526308465968,5,3,2,Rain,Wet,Dark
ACC-000231,2023-06-03T10:36:02.726207,41.82394873999078,-87.63630267164551,2,0,2,Clear,Dry,Daylight
ACC-000232,2023-11-18T17:01:16.726207,41.811044335181585,-87.62747909579468,4,1,2,Clear,Dry,Daylight
ACC-000233,2024-12-29T14:14:41.726207,41.80111897138913,-87.5729026850743,5,1,3,Clear,Dry,Daylight
ACC-000234,2024-11-06T07:03:09.726207,41.95883222393317,-87.62824806138727,2,1,3,Snow,Unknown,Daylight
ACC-000235,2024-07-20T18:17:28.726207,41.89903766900845,-87.74020175380339,5,2,1,Clear,Dry,Daylight
